в каком районе находится памятник ленину	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MONUMENTS on ADDRESSES.ID = MONUMENTS.ID_ADDRESS WHERE MONUMENTS.NAME like '%Ленину%'	111
в каком районе находится парк «ближние дубки»	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ближние дубки%'	166
в каком районе находится ближние дубки	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ближние дубки%'	272
в каком районе находятся ближние дубки	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ближние дубки%'	304
в каком районе находится полежаевский парк	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%Полежаевский%'	164
в каком районе находится александрийский парк	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%Александрийский%'	41
в каком районе находится александровский парк	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%Александровский%'	217
в каком районе находится парк им. в.и.ленина	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ленина%'	24
в каком районе находится парк им. ленина	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ленина%'	262
в каком районе находится парк имени ленина	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ленина%'	139
в каком районе находится парк ленина	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ленина%'	225
в каком районе находится аллея фонтанов	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%аллея фонтанов%'	230
в каком районе находится английский парк	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%английский%'	239
в каком районе находится ансамбль большого дворца и Нижнего сада	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ансамбль большого дворца и Нижнего сада%'	150
в каком районе находится ансамбль марли	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ансамбль марли%'	203
в каком районе находится собственная дача	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%собственная дача%'	242
в каком районе находится верхний парк	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%верхний%'	52
в каком районе находится ансамбль верхнего парка и Нижнего сада	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ансамбль верхнего парка и Нижнего сада%'	23
в каком районе находится знаменка	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%знаменка%'	20
в каком районе находится михайловская дача	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ансамбль михайловской дачи%'	199
в каком районе находится михайловка	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ансамбль михайловской дачи%'	104
в каком районе находится ансамбль михайловской дачи	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ансамбль михайловской дачи%'	241
в каком районе находится петродворец	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ансамбль петродворца%'	188
в каком районе находится ансамбль петродворца	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ансамбль петродворца%'	297
в каком районе находится сергиевка	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%сергиевка%'	224
в каком районе находится стрельна	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%стрельна%'	180
в каком районе находится арт-галерея "дар"	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MUSEUMS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE MUSEUMS.NAME like '%арт-галерея "дар"%'	55
в каком районе находится дар	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MUSEUMS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE MUSEUMS.NAME like '%арт-галерея "дар"%'	133
в каком районе находится арт-галерея "либерти"	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MUSEUMS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE MUSEUMS.NAME like '%арт-галерея "либерти"%'	236
в каком районе находится либерти	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MUSEUMS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE MUSEUMS.NAME like '%арт-галерея "либерти"%'	120
в каком районе находится арт-галерея "Э"	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MUSEUMS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE MUSEUMS.NAME like '%арт-галерея "Э"%'	260
в каком районе находится вагон-музей	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MUSEUMS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE MUSEUMS.NAME like '%вагон-музей%'	246
в каком районе находится военно-исторический музей артиллерии, инженерных войск и войск связи	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MUSEUMS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE MUSEUMS.NAME like '%военно-исторический музей артиллерии, инженерных войск и войск связи%'	180
в каком районе находится выставка мостостроения	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MUSEUMS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE MUSEUMS.NAME like '%выставка мостостроения%'	131
в каком районе находятся выставочные залы конюшенного корпуса центрального парка культуры и отдыха им. с. м. кирова	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MUSEUMS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE MUSEUMS.NAME like '%выставочные залы конюшенного корпуса центрального парка культуры и отдыха им. с. м. кирова%'	272
в каком районе находятся выставочные залы конюшенного корпуса центрального парка культуры и отдыха им. кирова	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MUSEUMS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE MUSEUMS.NAME like '%выставочные залы конюшенного корпуса центрального парка культуры и отдыха им. с. м. кирова%'	221
в каком районе находятся выставочные залы конюшенного корпуса центрального парка культуры и отдыха имени кирова	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MUSEUMS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE MUSEUMS.NAME like '%выставочные залы конюшенного корпуса центрального парка культуры и отдыха им. с. м. кирова%'	296
в каком районе находятся выставочные залы конюшенного корпуса центрального парка культуры и отдыха	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MUSEUMS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE MUSEUMS.NAME like '%выставочные залы конюшенного корпуса центрального парка культуры и отдыха им. с. м. кирова%'	282
в каком районе находится выставочный зал «арт-курорт»	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MUSEUMS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE MUSEUMS.NAME like '%выставочный зал «арт-курорт»%'	31
в каком районе находится арт-курорт	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MUSEUMS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE MUSEUMS.NAME like '%выставочный зал «арт-курорт»%'	174
в каком районе находится выставочный центр «ленэкспо»	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MUSEUMS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE MUSEUMS.NAME like '%выставочный центр «ленэкспо»%'	243
в каком районе находится памятник любезным родителям	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MONUMENTS on ADDRESSES.ID = MONUMENTS.ID_ADDRESS WHERE MONUMENTS.NAME like '%любезным родителям%'	101
в каком районе находится мемориальная стела героям-ижорцам	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MONUMENTS on ADDRESSES.ID = MONUMENTS.ID_ADDRESS WHERE MONUMENTS.NAME like '%мемориальная стела героям-ижорцам%'	113
в каком районе находится памятник в честь подвига 72-го ижорского отдельного пулеметно-артиллерийского батальона	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MONUMENTS on ADDRESSES.ID = MONUMENTS.ID_ADDRESS WHERE MONUMENTS.NAME like '%в честь подвига 72-го ижорского отдельного пулеметно-артиллерийского батальона%'	144
в каком районе находится павильон росси	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MONUMENTS on ADDRESSES.ID = MONUMENTS.ID_ADDRESS WHERE MONUMENTS.NAME like '%павильон росси%'	316
в каком районе находится памятник марии фёдоровне	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MONUMENTS on ADDRESSES.ID = MONUMENTS.ID_ADDRESS WHERE MONUMENTS.NAME like '%марии фёдоровне%'	321
в каком районе находится памятник императрице марии фёдоровне	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MONUMENTS on ADDRESSES.ID = MONUMENTS.ID_ADDRESS WHERE MONUMENTS.NAME like '%императрице марии фёдоровне%'	248
в каком районе находится палисадник с оградой и памятником в.к. рентгену	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MONUMENTS on ADDRESSES.ID = MONUMENTS.ID_ADDRESS WHERE MONUMENTS.NAME like '%палисадник с оградой и памятником в.к. рентгену%'	236
в каком районе находится палисадник с оградой и памятником рентгену	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MONUMENTS on ADDRESSES.ID = MONUMENTS.ID_ADDRESS WHERE MONUMENTS.NAME like '%палисадник с оградой и памятником в.к. рентгену%'	134
в каком районе находится памятник героическому комсомолу	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MONUMENTS on ADDRESSES.ID = MONUMENTS.ID_ADDRESS WHERE MONUMENTS.NAME like '%героическому комсомолу%'	95
