в каком районе находится памятник ленину	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join MONUMENTS on ADDRESSES.ID = MONUMENTS.ID_ADDRESS WHERE MONUMENTS.NAME like '%Ленину%'
в каком районе находится парк «ближние дубки»	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ближние дубки%'
в каком районе находится ближние дубки	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ближние дубки%'
в каком районе находятся ближние дубки	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ближние дубки%'
в каком районе находится полежаевский парк	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%Полежаевский%'
в каком районе находится александрийский парк	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%Александрийский%'
в каком районе находится александровский парк	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%Александровский%'
в каком районе находится парк им. в.и.ленина	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ленина%'
в каком районе находится парк им. ленина	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ленина%'
в каком районе находится парк имени ленина	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ленина%'
в каком районе находится парк ленина	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ленина%'
в каком районе находится аллея фонтанов	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%аллея фонтанов%'
в каком районе находится английский парк	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%английский%'
в каком районе находится ансамбль большого дворца и Нижнего сада	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ансамбль большого дворца и Нижнего сада%'
в каком районе находится ансамбль марли	SELECT AREAS.NAME FROM AREAS join ADDRESSES on AREAS.ID = ADDRESSES.ID_AREA join PARKS on ADDRESSES.ID = PARKS.ID_ADDRESS WHERE PARKS.NAME like '%ансамбль марли%'
